timestamp;tag;duration;package_0;core_0;uncore_0;nvidia_gpu_0
1714246005.6962154;main;10.005895137786865;250991423.0;205600975.0;74524.0;137222
1714246380.7785833;main;10.19515585899353;255554888.0;209382764.0;78186.0;146309
1714246755.6370015;main;3.61691951751709;32816078.0;13410671.0;1438961.0;57325
1714247047.4509566;main;90.78547191619873;1264802183.0;786791626.0;16061665.0;286804
1714247675.7101064;main;1.2687463760375977;20585030.0;14431848.0;121520.0;30021
1714247853.280159;main;1.0573608875274658;18247023.0;12131439.0;367736.0;25454
1714247992.8608823;main;10.004786491394043;249962373.0;195753955.0;4631214.0;144398
1714248091.4179168;main;10.008094549179077;251067717.0;191874448.0;5779098.0;144884
1714248295.369996;run_linear_regression;240.28706884384155;5160240696.0;3692977180.0;124219775.0;179282
1714248800.4504519;run_gradient_boosting;32.709121227264404;815709276.0;663484142.0;12818.0;177375
1714248890.0203054;main;10.004651069641113;249383578.0;200439734.0;1514645.0;147721
1714248956.0968773;train_random_forest;10.14498496055603;255907182.0;206931538.0;1179196.0;140218
